테마	제목	가사
이별	전하지 못한 진심 (Feat. Steve Aoki)	"외로움이 가득히
피어있는 이 garden
가시투성이
이 모래성에 난 날 매었어
너의 이름은 뭔지
갈 곳이 있긴 한지
Oh could you tell me
이 정원에 숨어든 널 봤어
And I know
너의 온긴 모두 다 진짜란 걸
푸른 꽃을 꺾는 손
잡고 싶지만
내 운명인 걸
Don't smile on me
Light on me
너에게 다가설 수 없으니까
내겐 불러줄 이름이 없어
You know that I can't
Show you ME
Give you ME
초라한 모습 보여줄 순 없어
또 가면을 쓰고 널 만나러 가
But I still want you
외로움의 정원에 핀
너를 닮은 꽃
주고 싶었지
바보 같은 가면을 벗고서
But I know
영원히 그럴 수는 없는 걸
숨어야만 하는 걸
추한 나니까
난 두려운 걸
초라해
I’m so afraid
결국엔 너도 날 또 떠나버릴까
또 가면을 쓰고 널 만나러 가
할 수 있는 건
정원에
이 세상에
예쁜 너를 닮은 꽃을 피운 다음
니가 아는 나로 숨쉬는 것
But I still want you
I still want you
어쩌면 그때
조금만
이만큼만
용길 내서 너의 앞에 섰더라면
지금 모든 건 달라졌을까
난 울고 있어
사라진
무너진
홀로 남겨진 이 모래성에서
부서진 가면을 바라보면서
And I still want you
But I still want you
But I still want you
And I still want you"
이별	이 사랑	"시간을 되돌리면
기억도 지워질까
해볼 수도 없는 말들을
내뱉는 걸 알아
널 힘들게 했고
눈물로 살게 했던
미안한 마음에 그런 거야
하지만 난 말야
너의 밖에선 살 수 없어
내겐 너 하나로
물든 시간만이 흘러갈 뿐이야
사랑해요 고마워요
따뜻하게 나를 안아줘
이 사랑 땜에 나는 살 수 있어 
사랑은 그런가봐
무슨 말을 해봐도
채워지지 않은 것 같은
마음이 드나봐
내 욕심이라고
다시 생각을 해봐도
그 마음 쉽게 사라지지 않아
알잖아 난 말야
너의 밖에선 살 수 없어
내겐 너 하나로
물든 시간만이 흘러갈 뿐이야
사랑해요 고마워요
따뜻하게 나를 안아줘
이 사랑 땜에 나는 살 수 있어 
돌아가도 다시 견딜 수 있을까
너무 힘들던 시간들
흔들리지 않은 너를 볼 때면
떨리는 내 입술이
두루루 두루루
알잖아 난 말야
너의 밖에선 살 수 없어
내겐 너 하나로
물든 시간만이 흘러갈 뿐이야
사랑해요 고마워요
따뜻하게 나를 안아줘
이 사랑 땜에 나는 살 수 있어 
사랑 땜에 나는 살 수 있어 "
이별	여보세요	"여보세요 
밥은 먹었니 
어디서 뭐 하는지 
걱정되니까 
Tell me baby where you at 
여보세요 
Call me baby I be there 
Wherever you are I be there 
여보세요 
Pick up the phone girl 
Cuz I gotta be there 
차가 막히는지 
늦을 건가 봐 급한 맘에 
배터리는 또 
깜빡 하셨나 봐 나는 또 
왠지 비가 올 것 같애 
고민을 하다가 너를 좀 더 
빨리 보고 싶은 맘에 
일찍 데릴러 나가 
깜짝 놀라겠지 
날 보면 좋아하겠지 
길이 엇갈리지 
않게 더 달려야겠지 
저 멀리 니 모습 
보이는데 왜 난 
전활 걸어 한다는 
말이 결국엔 
여보세요 밥은 먹었니 
어디서 뭘 하는지 
걱정되니까 
여보세요 
왜 아무 말 못하니 
여보세요 여보세요
널 데릴러 왔어 
비가 올까 봐 
혼자 쓸쓸히 
빗속을 걸을까 봐 
집 앞이야 니가 보여 
누구랑 있나 봐 
솔직히 말 못했어 
그럼 널 잃을까 봐 
나도 알아 내 행동 비겁해 
비겁하다 놀려도 
난 절대 못 가 더는 
이런 내 맘 알까 너는 
네게 가는 길이 
내게 왜 지옥행 
같이 느껴져야 되는건지 
이건 말이 안돼 
니 외로움 달래 준건 난데 
어서 말해 제발 
아무 사이 아니라고 
왜 난 안돼 한 번 해봐 
아무 말이라도 
지금 너 거기서 뭐하니 
지금 널 멀리서 멍하니 
바라보는 내가 
느껴지지 않니 
하고픈 말은 다 내일 해 
미안하단 말도 내일 해 
자꾸 어딜 봐 바로 여기가 
니가 있어야 할 자린데 
여보세요 밥은 먹었니
어디서 뭘 하는지 
걱정되니까
여보세요 
왜 아무 말 못하니
여보세요 여보세요
널 보고 싶었어 
비가 오니까 비가 내리니까
너와 걷던 거리를 
걷다 보니까 죽겠으니까
집 앞이야 보고 싶어 
너는 아닌가 봐
솔직히 미치겠어 
너 아님 안되나 봐
Baby I can’t let you go 
밥은 먹었니
I only think about you girl 
What would I be without you girl 
어디서 뭐 하는지
Don’t tell me lies 
Don’t say goodbye 
I just wanna let you know 
왜 아무말 못하니
I only think about you girl 
What would I be without you girl
What would I be without you girl
여보세요"
이별	Fine	"찢어진 종잇조각에 
담아낸 나의 진심에
선명해져 somethin' bout you
Yeah 나를 많이 닮은 듯 다른
넌 혹시 나와 같을까 지금
괜한 기대를 해
하루 한 달 일 년쯤 되면
서로 다른 일상을 살아가
나는 아니야
쉽지 않을 것 같아
여전하게도 넌 내 하루하루를 채우고
아직은 아니야
바보처럼 되뇌는 나
입가에 맴도는 말을 삼킬 수 없어
It’s not fine
Ah- Ah- Ah- Ah- 
It’s not fine
머릴 질끈 묶은 채
어지러운 방을 정리해
찾고 있어 somethin' new
가끔 이렇게 감당할 수 없는
뭐라도 해야 할 것만 같은 기분에
괜히 움직이곤 해
하루 한 달 일 년 그 쯤이면
웃으며 추억할 거라 했지만
나는 아니야
쉽지 않을 것 같아
여전하게도 넌 내 하루하루를 채우고
아직은 아니야
바보처럼 되뇌는 나
입가에 맴도는 말을 삼킬 수 없어
It’s not fine
Ah- Ah- Ah- Ah- 
It’s not fine
의미 없는 농담 주고받는 대화
사람들 틈에 난 아무렇지 않아 보여
무딘 척 웃음을 지어 보이며
너란 그늘을 애써 외면해보지만
우리 마지막
그 순간이 자꾸 떠올라
잘 지내란 말이 전부였던 담담한 이별
아직은 아니야
바보처럼 되뇌는 그 말
입가에 맴도는 말을 삼킬 수 없어 
It’s not fine
Ah- Ah- Ah- 
It’s not fine
Ah- Ah- Ah- 
It’s not fine"
이별	My Way	"흐르는 물결이
내 발목에 감겨 나가면 
깊은 곳에 숨겨둔 아픈 기억
모두 살아나고
어디에 기대 살아갈까 
나를 스쳐가는 
그 모든 것들이 상처인데
그댈 그린 밤들이
내게 욕심이란 걸 맘 아프게 알아 
나를 택한 운명이
행여 그댈 맴돌아 붙잡지 못하게 
이제 그대 곁에서 떠나가 
내뱉는 숨마다
가시 돋친 고통이어서 
깊은 곳에 숨겨둔 사랑 또한
그저 지워 내고
어디에 기대 살아갈까 
나를 스쳐가는 
그 모든 것들이 상처인데
그댈 그린 밤들이
내게 사치라는 걸 맘 아프게 알아 
나를 택한 운명이
행여 그댈 맴돌아 붙잡지 못하게 
이제 그대 곁에서 떠나가
언젠가 그대 곁에 
다시 돌아갈 수 있다면
그때가 언제라도 
나를 잊지 않았다면 
그댈 그린 날들이
내게 마지막 남은 기쁨이었단 걸 
내가 택한 운명이
다른 무엇이 아닌 그대뿐이라는 걸
이제 그대 곁에서 영원히"
이별	"모든 날, 모든 순간 (Every day, Every Moment)"	"네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해"
이별	비가 오는 날엔	"세상이 어두워지고
조용히 비가 내리면
여전히 그대로
오늘도 어김없이 난
벗어나질 못하네
너의 생각 안에서
이제 끝이라는 걸 알지만
미련이란 걸 알지만
이제 아닐 걸 알지만
그까짓 자존심에 
널 잡지 못했던 내가
조금 아쉬울 뿐이니까
비가 오는 날엔 나를 찾아와
밤을 새워 괴롭히다
비가 그쳐가면 너도 따라서
서서히 조금씩 그쳐가겠지
취했나 봐 
그만 마셔야 될 것 같애
비가 떨어지니까 
나도 떨어질 것 같애
뭐 네가 보고 싶다거나 
그런 건 아냐
다만 우리가 가진 시간이 좀
날카로울 뿐
네가 참 좋아했었던 이런 날이면
아직 너무 생생한 
기억을 꺼내놓고
추억이란 덫에 
일부러 발을 들여놔
벗어나려고 발버둥조차 
치지 않아
이제 너를 다 지워냈지만
모두 다 비워냈지만
또다시 비가 내리면
힘들게 숨겨놨던 
너의 모든 기억들이
다시 돌아와 널 찾나 봐
비가 오는 날엔 나를 찾아와
밤을 새워 괴롭히다
비가 그쳐가면 너도 따라서
서서히 조금씩 그쳐가겠지
너에게로
이젠 돌아갈 길은 없지만
지금 행복한 너를 보며
난 그래도 웃어볼게 
널 잡을 수 있었던
힘이 내겐 없었으니까
비가 오는 날엔 나를 찾아와
밤을 새워 괴롭히다
비가 그쳐가면 너도 따라서
서서히 조금씩 그쳐 가겠지
어차피 끝나버린 걸 이제 와
어쩌겠어
뒤늦게 후회나 하는 거지 
덜떨어진 놈처럼
비는 항상 오니까 
계속 반복되겠지
그치고 나면 그제서야 
나도 그치겠지
비는 항상 오니까 
계속 반복되겠지
그치고 나면 그제서야 
나도 그치겠지"
이별	Love Blossom (러브블러썸)	"입안에서
바람 맛이
달콤한 아침
새하얀
이불위로 닿는
햇살이 좋아
설레는
전화 벨소리
그대 인가요
설탕 한 스푼 담긴 소리
hello hello
봄이 와
이 거리 위에
봄이 와
나의 가슴속에
왜 이리 나
들뜨나 몰라
oh
팝콘 같은 꽃잎이
저 높이 날아요
사랑한다 말하면
난 정말 녹아요
오늘 같은 바람이 불면
하루 종일 미치겠어
그대가
아른아른 거려서
향기로운
봄 바람이
나풀거리고
두 볼에 앉은
햇살마저
완벽한걸요
새하얗게 춤을 추는
꽃잎을 보며
그대와 둘이
걷다 보면
uh huh
ah ha
봄이 와
이 거리 위에
봄이 와
우리 둘 사이에
설레임이
피어 올라요
oh
팝콘 같은 꽃잎이
저 높이 날아요
사랑한다 말하면
난 정말 녹아요
오늘 같은 바람이 불면
하루 종일 미치겠어
그대가
아른아른 거려서
꿈에서 봤던
거리가 여기인가요
그대와 나란히
걷는 모든 곳이
아름다워
난 있잖아요
그대를 볼 때마다 놀라
더 아름다울 수 없는
그대여
따사로운 봄빛에
사랑이
녹아요
살랑대는 바람에
사랑이
불어요
오늘 같은 바람이 불면
제일 먼저
떠올라요
그대만
팝콘 같은
꽃잎이
저 높이 날아요
사랑한다
말하면
난 정말 녹아요
오늘 같은 바람이 불면
하루 종일 미치겠어
그대가
아른아른 거려서
그대가
나의 봄이죠"
이별	세 사람 (With 성시경)	"많은 사람들 분주한 인사
우리 모두 모인 게 얼마 만인 건지
하얀 드레스
멋있어진 녀석
정말 잘 어울려
오랜 내 친구들 축하해
기억나는지 우리 처음 만난 날
새로운 꿈 시작된 3월의 캠퍼스
어쩌면 그때 나는 알았나 봐
너 때문에 웃고 울게 될 나를
스무살
그 시절
우리 여름날의 멜로디
가슴속에 늘 숨 쉬는 풍경 하나
내 친구 처음 소개하던 날
뭔가 달라 보이던 너의 표정
넌 시작이었나 봐
둘만의 비밀이
닮아있는 말투가
친구라는 슬픈 말이
날 멈추게 만들어
말할 수 없는 나의 고백
용길 낼 수 없던 수많은 날
너의 연인은 내 오랜 친구
축복의 노래 꽃잎 흩날리면
눈부신 너의 모습 얼마나 예쁠까
매일 연습했던 말 이젠 안녕
스무살
그 시절
우리 여름날의 멜로디
아직 우릴 지켜준 나만의 약속
술 취해 혼자 비틀대던 밤
우리 셋 우정 지켜내잔 약속
내겐 사랑이었음을
둘만의 비밀이
닮아있는 말투가
친구라는 슬픈 말이
날 멈추게 만들어
말할 수 없는 나의 고백
용길 낼 수 없던 수많은 날
너의 연인은 내 오랜 친구
너에게 하고 싶은 말 넘쳐흐르는데
너만 보면 내 맘 춤을 추는데
모르는 사이 베어버린 상처가
널 보면 자꾸 아파
저 문이 열린다 그녀가 들어온다
난 고개를 들 수 없어
이렇게 좋은 날에
웃을 수밖에 없는 사람
언제나 날 반기는 두 사람
남겨진 나의 사랑
오 나의 청춘이 멀어진다
두 손 꼭 잡은 채로
그토록 원했던 오늘을
내 소중한 그녀의 내일을
나의 오랜 친구여 부탁해"
기분전환	Power Up	"Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana
Oh 아무것도 안 했는데
왜 시간은 벌써 3시
아이스 아메리카노 마셔도 왜
더 후끈후끈하니
태양은 우릴 놀리고
아스팔트 온도 50도 Wow
원해요 에너지
차갑거나 아예 뜨겁게
Summer Magic
반짝인 그 Ocean 위로
난 벌써 날아
Go Go 에어플레인
번개처럼 날아라
카우아이 파도 속 나를 던져 버리게
이예이예 이예이예이예이예
Let’s power up
까맣게 다 타버릴 거예요
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana Ba
Let’s power up
놀 때 제일 신나니까요
Oh 좋아하는 걸 원해봐요
I want it I want it
want it want it yeah
매일 그대 열정은 타오르죠
I’ll take it I’ll take it
take it take it yeah
그런 게 우리의 천재적인 파워야
즉흥적 본능적 맞아 그게 필요해
떠나요 오늘 밤
짜릿함을 찾으러 레벨업
엔진 소리 들뜬 맘의
백그라운드 뮤직 봐
벌써 날아
Go Go
에어플레인 태양 위로 날아라
Diving to the sky
완전 소름 돋았어
이예이예 이예이예이예이예
Let’s power up
까맣게 다 타버릴 거예요
Go Go 에어플레인
번개처럼 날아라
카우아이 파도 속 나를 던져 버리게
이예이예 이예이예이예이예
Let’s power up
까맣게 다 타버릴 거예요
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana Ba
Let’s power up
놀 때 제일 신나니까요
선생님은 내게 말씀하셨죠
놀 때도 일할 때도 즐겁게 해
그래 난 유달리 반짝거렸죠
뜨거움도 새로움도 It’s mine
Go Go 에어플레인
번개처럼 날아라
카우아이 파도 속 나를 던져 버리게
이예이예 이예이예이예이예
Let’s power up
까맣게 다 타버릴 거예요
Go Go 에어플레인
태양 위로 날아라
Diving to the sky
완전 소름 돋았어
이예이예 이예이예이예이예
Let’s power up
까맣게 다 타버릴 거예요
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana
Ba-banana Ba-ba-banana-nana Ba
Let’s power up
놀 때 제일 신나니까요"
기분전환	Dance The Night Away	"라라라라라라라 라라라라라라라
You and me in the moonlight
별 꽃 축제 열린 밤
파도 소리를 틀고 춤을 추는 이 순간
이 느낌 정말 딱야
바다야 우리와 같이 놀아
바람아 너도 이쪽으로 와
달빛 조명 아래서 너와 나와 세상과
다 같이 Party all night long yeah
it’s good
If you wanna have some fun
짭짤한 공기처럼 이 순간의 특별한
행복을 놓치지마
One two three let’s go
저 우주 위로 날아갈 듯 춤추러 가
Hey Let’s dance the night away
Let’s dance the night away
One two three let’s go
저 바다 건너 들릴 듯 소리 질러
let’s dance the night away
Dance the night away
Let’s dance the night away
Dance the night away
Let’s dance the night away
You and me in this cool night
미소 짓는 반쪽 달
그 언젠가 너와 나 저 달 뒷면으로 가
파티를 열기로 약속
yeah it’s good
If you wanna have some fun
은빛 모래알처럼 이 순간의 특별한
행복을 놓치지 마
One two three let’s go
저 우주 위로 날아갈 듯 춤추러 가
Hey Let’s dance the night away
Let’s dance the night away
One two three let’s go
저 바다 건너 들릴 듯 소리 질러
let’s dance the night away
오늘이 마지막인 듯
소리 질러 저 멀리
끝없이 날아오를 듯
힘껏 뛰어 더 높이
오늘이 마지막인 듯
소리 질러 저 멀리
쏟아지는 별빛과
Let’s dance the night away
Let’s dance the night away
One two three let’s go
저 바다 건너 들릴 듯 소리 질러
let’s dance the night away
Let’s dance the night away
Dance the night away
Dance the night away
Dance the night away
Let’s dance the night away"
기분전환	여행	"저 오늘 떠나요 공항으로
핸드폰 꺼 놔요
제발 날 찾진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 bye bye
쉬지 않고 빛났던 꿈같은
my youth
이리저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London
Paris New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
저 이제 쉬어요 떠날 거예요 
노트북 꺼 놔요
제발 날 잡진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 see ya
쉬지 않고 빛났던 꿈같은
my youth
이리 저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London Paris
New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아 다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
I can fly away
Fly always always always
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔"
기분전환	Forever Young	"떠나지 마 just stay 
지금 이 시간을 멈춘 채 
너와 함께라면 난 
I could die in this moment 
Forever young 
Forever young 
Forever young 
Forever young
너의 눈에 비친 나의 모습이 
늘 처음 만난 그 날만 같길
소리 없이 타오르는 불꽃같이 
마지막처럼 내 입 맞추길
달빛 아래 내 마음은 설레 
은하수로 춤추러 갈래 
let’s go 
지금 let go 
오늘이 가도 후회 없게 
시간이 우리 둘을 떼어 놓을 수 없게 
순간이 영원할 수 있게 
넌 내 마음에 불을 질러줘 
후회 없는 젊음이 타오르게 
지금처럼 너와 함께라면 
tonight 
I could die in this moment 
Forever young 
Forever young 
Forever young 
Forever young 
매일매일 밤 밤 
이 노래를 불러 불러 
Know we got that bomb bomb 
Come again come again 
Forever young boy 
so we ride or die 
끝이 없을 것처럼 달려 너와 나 
붉은 sunset 아래 
너는 지금 내 옆에 
Pinked out or murdered out 
like it ain’t no thing 
다 필요 없어 주인공은 우리 
Say life’s a bish 
But mine’s a movie 
내 Diamond처럼 
we’ll shine together 
Whenever wherever 
forever ever ever 
짜릿하게 더 위험하게 
세상 저 끝까지 가볼래 
let’s go 
지금 let go 
오늘이 가도 후회 없게 
시간이 우리 둘을 떼어 놓을 수 없게 
순간이 영원할 수 있게 
넌 내 마음에 불을 질러줘 
후회 없는 젊음이 타오르게 
세상 무엇도 두렵지 않아 
tonight 
I could die in this moment 
Forever young
달이 뜨고 별이 뜨면 
춤추는 body 
끝이 없이 달려보자 
we like to party 
달이 뜨고 별이 뜨면 
춤추는 body 
끝이 없이 달려보자 
we like to party 
Girls wanna have some fun 
We go dumb dumb dumb 
Girls wanna have some fun 
What you want want want 
Girls wanna have some fun 
We go dumb dumb dumb 
Girls wanna have some fun 
We ain’t done done done 
Whatta bum bum whatta bum bum 
Whatta bum bum whatta bum bum 
Whatta bum bum whatta bum bum 
Whatta bum bum whatta bum bum 
Whatta bum bum whatta bum bum 
Whatta bum bum whatta bum bum 
Whatta bum bum whatta bum bum
Whatta bum bum whatta bum bum"
기분전환	Loving U (러빙유)	"Hey 참 이상해 정말 strange
이런 적 없었는데 널 볼때마다
나 두근두근 떨리는게
When I see your face 
혼자 막 상상을 해
나 표정 관리 안돼 미칠 것 같아 
또 니가 니가 보고 싶어서
I wanna say woo woo woo woo yeh
너 때문에 그래 먼저 말하긴 
싫은데 내 입가에 맴돌아
Loving U U 나 어떡해 
what should I do
조절이 안돼 내 맘 고장 나버린 
heart 정신 못 차릴 만큼
Boy I'm falling in love with U U
나 어떡해 what should I do
널 놓치면 난 안돼 사랑한다고
Woo woo woo woo woo
Woo woo woo woo woo woo
Baby I'm in love with you
ok let's talk about love 
모두 휘파람을 불며
어머나 나를 꼬시려고 했던 남자들 
이젠 모두 안녕
내 애교섞인 목소리는 
오빠만 부를래 오빠야
어쩌면 좋아 내가 사랑에 빠졌나 봐
Woo woo woo woo yeh
너 때문에 그래 먼저 말하긴 싫은데
내 입가에 맴돌아
Loving U U 나 어떡해 
what should I do
조절이 안돼 내 맘 고장 나버린 
heart 정신 못 차릴 만큼
Boy I'm falling in love with U U
나 어떡해 what should I do
널 놓치면 난 안돼 사랑한다고
Woo woo woo woo woo
Woo woo woo woo 
Baby I'm in love with you
애타는 내 맘 너무 기나긴 밤 
숨겨왔던 너를 향한 말 사랑해
Baby I’m in love with U U
나 어떻게 해 What should I do
조절이 안돼 내 맘 고장 나버린 
heart 정신 못 차릴 만큼
Boy I'm falling in love with U U
나 어떡해 what should I do
널 놓치면 난 안돼 사랑한다고
Woo woo woo woo woo
Woo woo woo woo woo woo
Baby I'm in love with you
Hello Hello 눈이 마주치면 L. O. 
L. O. V. E 나는 말해
멜로 멜로 우린 L. O. L. O. V. E. 
L. O. L. O. V. E
I'm only think about U "
기분전환	BAAM	"Bae Bae Bae BAAM BAAM 
Bae Bae Bae BAAM BAAM 
자꾸 어지러워 
생각지도 못한 네가 
훅 훅 훅 들어와 BAAM 
BAAM
나를 흔들어 
무심하게 던진 말에 
Pick Pick Pick 쓰러져 BAAM 
BAAM
영혼 없는 듯 
들었다
차가운 말투 
놨다
네가 보는 
No Doubt
시선에 
No Doubt
나는 없고 
굳이 왜 굳이 왜 굳이 왜 굳이 왜
선을 긋는 듯 
이랬다
벽을 치던 
저랬다
그런 네가 어떻게 
oh 네가 어떻게 why
네 눈을 본다 눈을 본다 
눈을 본다 우우우 
빠져든다 빠져든다 
난 우 우우우
눈을 감아도 자꾸만 보여 
어떻게 해 
Baby Tell Me Why
널 보면 뛰는 마음 마음 마음 
생각나 매일 밤 밤 밤 
자꾸 oh 내가 왜 이래 베베
갈수록 더 숨길 수 없는 
마음 마음 마음 
널 보면 자꾸 이렇게 또 
oh 내가 왜 이래 베베 베베 베베
Bae Bae Bae BAAM BAAM 
Bae Bae Bae BAAM BAAM 
네가 날 보니까 나도 널 보잖아 
뚜루루뚜 삐비빅 신호를 보내잖아
Eh-eh 동공이 흔들려 
Hmm-hmm 심박이 빨라져 
Ya-ah 네가 날 보니까 BAAM
관심 없는 듯 
조였다
짧은 네 말투 
풀었다
갑자기 분위기는 
No Doubt 
No Doubt
싸늘하게 
굳이 왜 굳이 왜 굳이 왜 굳이 왜
벽을 치는 듯 
밀었다
선을 긋던 
당겨
그런 너를 어떡해 
oh 너를 어떡해 Why
내 눈을 본다 눈을 본다 
눈을 본다 우우우 
빠져든다 빠져든다 넌 우 우우우
꿈속에서도 자꾸만 보여 어떻게 해 
Baby Tell Me Why
널 보면 뛰는 마음 마음 마음 
생각나 매일 밤 밤 밤 
자꾸 oh 내가 왜 이래 베베
갈수록 더 숨길 수 없는 
마음 마음 마음 
널 보면 자꾸 이렇게 또 
oh 내가 왜 이래 베베 베베 베베
한순간에 BAAM 
날 내려놓게 하는 
Baby You u u u u u
갑자기 BAAM 
정신없게 흔들어대는 
You u u u u u
널 보면 뛰는 마음 마음 마음 
생각나 매일 밤 밤 밤 
자꾸 oh 내가 왜 이래 베베
갈수록 더 숨길 수 없는 
마음 마음 마음 
널 보면 자꾸 이렇게 또 
oh 내가 왜 이래 베베 베베 베베
Bae Bae Bae BAAM BAAM 
Bae Bae Bae BAAM BAAM "
기분전환	달빛바다	"Yeah It's summer
어디라도 좋아 
Falling love
오늘은 기어코 어디든지 가보자
이 여름 다 가기 전에 워우예에
물결이 들리고 
풀이 많은 곳이 어때
솔직히 너랑은 어디라도 난 좋아
달빛바다 닮은 저 하늘
조각배처럼 예쁜 저 별들 
Only for you
달빛 한 스푼
별빛 두 방울을
우리 추억에 담는 이 여름 
달빛바다
Hey You
Just a feeling
Just a dreaming
바람을 따라서 가는거야 
All right
내일은 기어코 다른 데서 눈 뜨자
젤 먼저 해 뜨는 데서 
워우예에 어어어
부서진 파도에 무지개도 볼지 몰라
솔직히 너랑은 무얼 봐도 난 좋아
달빛바다 닮은 저 하늘
조각배처럼 예쁜 저 별들 
Only for you
달빛 한 스푼
별빛 두 방울을
우리 추억에 담는 이 여름 
달빛바다
Beautiful moon night
시원한 바다로 함께
떠나 보는건 어때 Yes
너와 함께라면 OK
내년 여름에도 우린 함께일거야
두 손을 꼭 잡고 
오늘 얘길 나누게 될 걸
물빛하늘 닮은 저 바다
구름같은 파도가 밀려와 
Only for you
여름마다 쌓인 추억들이
걸음마다 밟히는 이 여름 
달빛바다"
기분전환	빨간 맛 (Red Flavor)	"빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
야자나무 그늘 아래 졸고 싶고
뜨거운 여름밤의 바람은 불고
너무 쉽게 사랑 빠져 버릴 나인틴
우린 제법 어울리고 또 멋져
좋아 첫눈에 반해 버린
네가 자꾸만 생각나
내 방식대로 갈래
빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
일곱 개의 무지갯빛 문을 열어
너의 세상은 짜릿해 멋있어
태양보다 빨간 네 사랑의 색깔
내가 가질래 내 멋대로 할래
날 봐 넌 뭘 생각하는데
오늘 뭘 할 수 있을까
내 맘대로 상상해
빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
복숭아 주스 스윗 앤 사워 믹스 Mood 
네게 주고픈 칵테일을 Brew RED
귓속이 쨍 코가 맹
상상 그 이상 기분 Up and bang RED
Bet you wanna 
bet you wanna dance like this
외쳐보자 좋아해요 솔직히
긴장해 땀이 뚝뚝 귀엽지
사랑에 빠져 그을려 우린 RED RED Ah
말 안 해도 알아주면 안 돼
내 맘은 더 커져 가는데
다 흘려버린 아이스크림같이
이러다 녹을지 몰라
그러니 말해 그래 그래 말해 
그러니 말해 그래 그래 말해 
너의 색깔로
날 물들여줘 더 진하게 강렬하게
빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
내가 제일 좋아하는 건 여름의 너"
