태마,곡명,가사
여름,Hold The Line,"nu music for summer 2 double O 6 
most wanted writers 
both industry , in the street listener 
listen up 
its B.E.G, cho pd on a new hit 
I.S bebe 
wit 조pd we want it all bebe 

첨에는 여자는 여자답게 
남자라면 리드해 남자답게 
삼팔선을 긋는 건 
여자들의 선택 넘 어려워 
(give it , to me) 

선은 넘어 가라고 그어졌고 
룰은 깨어지기 위해 만들어졌어 
그걸 가르쳐야 아니 
밀고 넘어지는 줄다리기 

걱정 마 아무나 못 넘봐 
십 분만 주면 바람 피우는 
저 여잔 거리가 멀거든 
i think i love you 
u must love me babe 

너무 오래 끌면 졸릴지 몰라 
너무 빠르면 나 놀랄지 몰라 
진정 날 아낀다면 
그 맘을 담아 내게 보여줘 

너무 오래 끌면 졸릴지 몰라 
차라리 좀 빠른게 더 낫겠어 
진정 사랑 한다면 
그 사랑을 모두 다 쏟아줘 

그녀는 얄미운 나비 검은 고양이 
진도 좀 나가려면 
그녀는 나의 바비 난 고추 잠자리 
너와 나 단 둘이서 
그러나 장담 못해 오 난 못해 
실패하면 그냥 장난 ok? 
이건 도박 그 시작과 끝이 넘 불분명해 

칼을 빼면 무라도 썰어야지 
남자답다는게 사실 뭐가 별거니 
벽에 부딪히면 
물러서는 것이 남자다운 거니 

선은 넘어가라고 그어졌고 
룰은 깨어지기 위해 존재해 
꼭 가르쳐야 아니 
밀고 넘어지는 줄다리기 

걱정마 아무나 못 넘봐 
십 분만 주면 바람 피우는 
저 여잔 거리가 멀거든 
i think i love you 
u must love me babe 

너무 오래 끌면 졸릴지 몰라 
너무 빠르면 난 놀랄지 몰라 
진정 날 아낀다면 
그 맘을 담아 내게 보여줘 

너무 오래 끌면 졸릴지 몰라 
차라리 좀 빠른 게 더 낫겠어 
진정 사랑 한다면 
그 사랑을 모두 다 쏟아줘 

너무 오래 끌면 졸릴지 몰라 
너무 빠르면 나 놀랄지 몰라 
진정 날 아낀다면 
그 맘을 담아 내게 보여줘 

너무 오래 끌면 졸릴지 몰라 
차라리 좀 빠른 게 더 낫겠어 
진정 사랑 한다면 
그 사랑을 모두 다 쏟아줘 

I want you 알아 늑대들의 맘 
I need you 그건 늑대들의 말 
I love you 그런 입에 발린 말들은 
너무 쉽게 보는 거야 여자들의 맘 
I want you 알아 늑대들의 맘 
I need you 그건 늑대들의 말 
I love you 그런 입에 발린 말들은 
너무 쉽게 보는 거야 여자들의 맘 
너무 쉽게 보는 거야 여자들의 맘 
너무 쉽게 보는 거야 여자들의 맘 
날 얻기를 원한다면 좀 더 보여줘 "
여름,My Love,"(나 이제 알아~~~) (가까이 와봐~~~) 
내 곁에서 언제나 날 지켜주는 너 
내가 어떤 말을 해도 받아 주는 너 

* 
(난 이제 알아) 
진실한 내 사랑이 너 밖에 없는 걸 
(두 눈을 감아) 
닫쳐진 내 입술이 니 볼에 닿잖아 
(내 눈을 봐봐) 
흐르던 내 눈물이 니 손에 멈췄어 
(날 안아 줘봐) 
너에게 내가 가진 전부를 다 줄게 

** 
니가 아닌 줄 난 알았어 
내가 사랑하고 싶은 사람은 
어질 적 보았던 멜로 영화처럼 
멋지게 오는 줄 알았어 

*** 
가까이 와봐 간절한 네 사랑에 입맞추고 싶어 
내 손을 잡아 다시는 놓지 말고 나를 꼭 안아 줘 

나를 보는 그 눈빛이 사랑스런 너 
항상 나의 곁에서 날 걱정하는 너 
나의 다른 이별마저 감싸주는 너 
모진 나의 이기심도 이해하는 너 
다른 사람 만나도 날 기다리는 너 
바보처럼 나 하나만 바라보는 너 

* 
(난 이제 알아) 
진실한 내 사랑이 너 밖에 없는 걸 
(두 눈을 감아) 
닫쳐진 내 입술이 니 볼에 닿잖아 
(내 눈을 봐봐) 
흐르던 내 눈물이 니 손에 멈췄어 
(날 안아 줘봐) 
너에게 내가 가진 전부를 다 줄게 

** 
니가 아닌 줄 난 알았어 
내가 사랑하고 싶은 사람은 
어질 적 보았던 멜로 영화처럼 
멋지게 오는 줄 알았어 

*** 
가까이 와봐 간절한 네 사랑에 입맞추고 싶어 
내 손을 잡아 다시는 놓지 말고 나를 꼭 안아 줘 

나를 보는 그 눈빛이 사랑스런 너 
항상 나의 곁에서 날 걱정하는 너 
나의 다른 이별마저 감싸주는 너 
모진 나의 이기심도 이해하는 너 "
여름,Hello! Summer!,"Yo yo Yo yo A-hu,A-hu Yo, ready 
SMTOWN 1,2, come on, 
That''s right 2003 Let''s party, 
Here we go, yo 

Here we go yo! Hey baby 
내게 비친 그대 모습 왜 이리 
좋은걸 Stay with me 
푸른 물결 내게 다가와 
Ha! 나를 따라와 bwa 
그댈 안고 떠나고 싶어 Hoo Ha 

기다렸던 계절이 다시 오면 
바다 가득히 드리워진 꿈들이 

나를 부르고 있어 모두 잊어버리고 
기다린 모습을 따라 즐거움만 가득하게 

부서지는 파도 하늘을 닮은 구름이 되고 
녹아버린 태양 수면위로 반짝이는 물결 
저 바람 타고 마음을 열어 떠나봐요 
나의 푸른 바다로 오 그대와 

Well it''s the S.M.T.O.W.N. 
We''re here to have a good time 
so grab a friend 
We''re gonna party till it can''t be done 
Then we gonna lay back 
and catch some sun 

시원한게 불어오는 바람 속에 
스며있는 듯 파란 노랫 소리 

그댈 부르고 있어 두 눈 가득 다가온 
새하얀 모래알처럼 설레이는 마음마다 

부서지는 파도 하늘을 닮은 구름이 되고 
녹아버린 태양 수면위로 반짝이는 물결 
저 바람 타고 마음을 열어 떠나봐요 
나의 푸른 바다로 오 그대와 

밤하늘 속 가득히 펼쳐져 있는 
저 작은 별빛 속에 담을 추억도 

밀려오는 하얀 물거품이 남겨 놓은 그림 
흘러가는 바다 저편으로 날아가고 싶어 
저 눈이 부신 하늘과 닿은 여름 끝에 
날 기다리는 그대의 그 모습도 

부서지는 파도 하늘을 닮은 구름이 되고 
녹아버린 태양 수면위로 반짝이는 물결 
저 바람 타고 마음을 열어 떠나봐요 
나의 푸른 바다로 오 그대와 "
여름,제주도의 푸른 밤,"떠나요 둘이서 
모든것 훌훌버리고 
제주도 푸른 밤 
그 별 아래 
이제는 더이상 
얽매이긴 우린 싫어요 
신문에 T V 에 
월급봉투에 
아파트 
담벼락보다는 
바달(바다를) 볼 수 있는 
창문이 좋아요 
낑깡밭 일구고 감귤도 
우리둘이 가꿔봐요 
정말로 그대가 
외롭다고 느껴진다면 
떠나요 제주도 
푸른 밤 하늘 아래로 

떠나요 둘이서 
힘들게 별로 없어요 
제주도 푸른 밤 
그 별 아래 
그동안 우리는 
오랫동안 지쳤잖아요 
술집에 카페에 
많은 사람에 
도시의 침묵보다는 
바다의 속삭임이 좋아요 
신혼부부밀려와 똑같은 
사진찍기 구경하며 
정말로 그대가 
재미없다 느껴진다 면 
떠나요 제주도 
푸르메가 살고 있는 곳 "
여름,출첵 (Feat. 나얼 For Brown Eyed Soul),"Double d와 함께하는 특별한 밤
everybody 모두 출석 check

Yeah
놀때 잘 못노는 사람도
게으른 사람
you know
오늘은 신나게 놉시다
Say 출 check
check it out
출 check
check it out
출 check
check it out
출석첵
우리의 일주일은 월화수목금금금
가득 쌓인 업무 때문에
쉴 틈틈틈
없어 졌어 입술이 또 텄어
얼굴 위에 그어진 빗금금금
전쟁 같은 삶 때문에
거울에 비친 우린 수척해
오늘의 해가 떨어졌으니
전화기를 꺼 모두 여기로
출석 check
일자리 구하기는
저 하늘에 별별별
가족들의 기대치는 덜덜덜
오늘도 미끄러진
백조 백수들 에게는
휴식마저 벌벌벌
다 잊자 오늘밤 만은
만들자 우리만의 추억이란 작품
이건 낭비가 아닌 재충전
사막 같은 삶을 위한 생수 병
오늘은 여기로 출check
모여라 여기로 출 check
왼쪽 사람들 출 check
오른쪽 사람들 출 check
어서 baby 어서 여기 모여
오늘만큼 free your mind
오늘만큼free your mind
어서 baby 어서 여기
오늘만큼 free your mind
오늘만큼 free your mind
지구를 들어버리겠다며
당돌하게 꺼꾸로
물구나무를 섰던 우린데
세상의 짐을 혼자 짊어진 듯
허리를 굽히며 중력에 굴복해
이 사회가 원하는 건
그저 높은 수치의 판매실적
오늘 만큼 우린 반역자
모두 여기로 출석첵
그만 걱정해 이젠 결정해
오랜 시간 고민하는 것은 멍청해
때로 우린 스스로 에게도
businessman
그건 내 안의 소리에 대한
Disrespect
just do it
마음이 시키는 대로
내일 일은 내일 고민해
놀아 맘대로
눈치 보면서 꾸물대지마
그러다가 오늘밤도 공치니까
오늘은 여기로 출첵
모여라 여기로 출첵
일하는 사람들 출첵
노는 사람들 출첵
어서 baby 어서 여기 모여
오늘만큼 free your mind
오늘만큼free your mind
어서 baby 어서 여기
오늘만큼 free your mind
오늘만큼 free your mind

어서 baby 어서 모두 모여
you baby
you're so special tonight
어서 baby
걱정들은 잊어 tonight
전쟁터에 군인들도
오늘은 무기를 버리고 휴전
사랑이 전쟁인 연인들도
오늘은 성질을 죽이고 휴전
회사도 노조들도
오늘은 분쟁을 멈추고 휴전
선생님 학교 학생들도
교과서를 버리고 휴전
어서 baby 어서 여기 모여
오늘만큼 free your mind
오늘만큼free your mind
어서 baby 어서 여기
오늘만큼 free your mind
오늘만큼 free your mind
출check
출check
출check
출check

출석check"
여름,All For You,"All For You
벌써 며칠째 전화도 없는 너
얼마후면 나의 생일이란 걸 아는지
눈치도 없이 시간은 자꾸만 흘러가고
난 미움보다 걱정스런 마음에
무작정 찾아간 너의 골목 어귀에서
생각지 못한 웃으며 반기는 너를 봤어
사실은 말야 난 많이 고민했어
네게 아무것도 해줄 수 없는 걸
아직 많이 모자라도 가진 것 없어도
이런 나라도 받아줄래
너를 위해서 너만을 위해서
난 세상 모든 걸 다 안겨주지 못하지만
난 너에게만 이제 약속할께
오직 너를 위한 내가 될께
It`s only for you Just wanna be for you
넌 그렇게 지금 모습 그대로 내 곁에 있으면 돼
난 다시 태어나도 영원히 너만 바라볼께

영원히 너와 함께 할 미래
내 곁에 있어준 너를 위해 너만를 위해
넌 모르지만 조금은 힘들었어
네게 어울리는 사람이 나인지
그게 내가 아니라도 다른 누구라도
이젠 그런 마음 버릴래
너를 위해서 너만을 위해서
난 세상 모든 걸 다 안겨주지 못하지만
난 너에게만 이제 약속할께
오직 너를 위한 내가 될께
It`s only for you Just wanna be for you
넌 그렇게 지금 모습 그대로 내 곁에 있으면 돼
난 다시 태어나도 영원히 너만 바라볼께
Love 내 작은 맘 속을
Oh love 니 향기로 채울래
그 속에 영원히 갇혀버린대도
난 행복할 수 있도록
너를 위해서 너만을 위해서
난 세상 모든 걸 다 안겨주지 못하지만
난 너에게만 이제 약속할께
오직 너를 위한 내가 될께
It`s only for you
영원히 행복할 수만 없겠지
언젠가 아파할 날도 있겠지
하지만 지금처럼만 바로 지금처럼만
서로 사랑하면 아무런 문제없지
어! It`s all for you
어! 어! Just all for you"
여름,부비부비,"부비부비(부비부비
부비부비부비부비)
부비부비(부비부비
부비부비부비부비)
부비부비(부비부비
부비부비부비부비)
부비부비(부비부비
부비부비부비부비)
처음엔 모두
다 부끄럽다 말해
그렇게 말해
왜 자꾸
다가오는 거냐며 피해
처음엔 그래
하지만 이제
부비부비
너도 나도 모두
부비부비
아무 생각 없이
부비부비
부비부비부비부비
즐겁게 춤춰!

한번만 하면
다 너무 좋다 말해
모두 다 그래
몇번을 다시
춤춰도 좋다 그래
누구나 그래
그래서 이제
부비부비
너도 나도 모두
부비부비
아무 생각 없이
부비부비
부비부비부비부비
그래서 이제 부비부비
너도 나도 모두
부비부비
아무 생각 없이
부비부비
부비부비부비부비
즐겁게 춤춰
부비부비(부비부비
부비부비부비부비)
부비부비(부비부비
부비부비부비부비)
부비부비(부비부비
부비부비부비부비)
부비부비(부비부비
부비부비부비부비)

하지만 이제
부비부비
너도 나도 모두
부비부비
아무 생각 없이
부비부비
부비부비부비부비
그래서 이제 부비부비
너도 나도 모두
부비부비
아무 생각 없이
부비부비
부비부비부비부비
즐겁게 춤춰!"
여름,Festival,"이제는 웃는거야 Smile Again
행복한 순간이야 Happy Days
움츠린 어깨를 펴고 이세상속에
힘든일 모두 지워버려
슬픔은 잊는거야 Never Cry
뜨거운 태양아래 Sunny Days
언제나 좋은 일들만
가득하기를 바라면 돼
항상 똑같은
생활속에 지쳐가지만
나를 누르는
힘든일에 쓰러지지만
고개를 숙일 건 없어
그속에 행복있는 걸 찾으면 돼
나의 주위를 둘러봐
힘겹다 느낄땐
맑은 어린아이의 모습에
미소를 닮아봐
이제는 웃는거야 Smile Again
행복한 순간이야 Happy Days
움츠린 어깨를 펴고 이세상속에
힘든일 모두 지워버려
슬픔은 잊는거야 Never Cry
뜨거운 태양아래 Sunny Day
언제나 좋은 일들만
가득하기를 바라면 돼

아주 가끔은
사랑있어 즐겁게 웃고
또 어떤날은
사랑으로 울기도 하고
쉬운건 하나도 없어
그 속에 기쁨 느끼면 그걸로 돼
조금 낮추어 돌아봐
삶이 무거울땐
아무말 없이 뛰고만 있는
많은 사람들
이제는 웃는거야 Smile Again
행복한 순간이야 Happy Days
움츠린 어깨를 펴고 이세상속에
힘든일 모두 지워버려
슬픔은 잊는거야 Never Cry
뜨거운 태양아래 Sunny Days
언제나 좋은 일들만
가득하기를 바라면 돼
랄라라라랄랄라 Smile Again
랄라라라랄랄라 Happy Days
커다란
하늘처럼만 더 크게 웃고
더 크게 생각하는거야
눈물은 잊는거야 Never Cry
푸르른 햇살처럼 Sunshine Days
언제나 좋은 일들만
가득하기를 기도할께
"
여름,여행을 떠나요,"푸른 언덕에 배낭을 메고 
황금빛 태양 축제를 여는 
광야를 향해서 계곡을 향해서 
먼동이 트는 이른 아침에 
도시의 소음 수많은 사람 
빌딩 숲 속을 벗어나봐요 
메아리 소리가 들려오는 
계곡속의 흐르는 물 찾아 
그 곳으로 여행을 떠나요 
메아리 소리가 들려오는 
그 곳으로 여행을 떠나요 
굽이 또 굽이 깊은 산중에 
시원한 바람 나를 반기네 
하늘을 보며 노래 부르세 
메아리 소리가 들려오는 
계곡속의 흐르는 물 찾아 
그 곳으로 여행을 떠나요 
Check Check 책가방을 벗어 
Yo Yo 여행을 떠나 
어디로 산으로 바다로 강으로 
Oh Oh 어디로 갈까 
소리지를 준비됐나 
제대로 한번 달려보자 
One Two Three and Four 
굽이 또 굽이 깊은 산중에 
시원한 바람 나를 반기네 
하늘을 보며 노래 부르세 
메아리 소리가 들려오는 
계곡속의 흐르는 물 찾아 
그 곳으로 여행을 떠나요 
내가 꿈 꾸었던 곳에 
그대 손을 잡고 걸어요 
이제는 떠나요 
여름 그곳으로 
여행을 떠나요 
즐거운 마음으로 
모두 함께 떠나요 
메아리 소리가 들려오는 
계곡속의 흐르는 물 찾아 
그 곳으로 여행을 떠나요 
메아리 소리가 들려오는 
계곡속의 흐르는 물 찾아 
그 곳으로 여행을 떠나요 
메아리 소리가 들려오는 
계곡속의 흐르는 물 찾아 
그 곳으로 여행을 떠나요"
여름,I Love Rock & Roll,"hey listen up ladies & gentlemen 
저기 신사숙녀 여러분 
잘 들으세요 
we got a very special song tonight 
오늘밤 특별한 노래가 
준비 되어있습니다 
so put your hands together 
두손을 들고 
let's rock & roll 
함께 흔들어 Rock & Roll 
이 음악에 몸을 실어 Rock & Roll 
누구든 상관없어 Rock & Roll 
맘껏 움직여봐 

사는 동안 힘겨워도 주저 말고 
다시 일어서봐 
그 누구나 스쳐가는 눈물 일뿐 
모두 잊고서 이 시간을 즐겨봐 
항상 혼자라고 생각했지만 
나를 사랑하는 사람들 속에 
이젠 웃을 수 있어 
다시 해 보는 거야 
훌훌 털고서 크게 소리질러봐 
함께 흔들어 Rock & Roll 
이 음악에 몸을 실어 Rock & Roll 
누구든 상관없어 Rock & Roll 
맘껏 움직여봐 
나와 춤을 춰 rock & roll 
오늘만은 나와 함께 rock & roll 
아무도 보지 말고 rock & roll 
지금 멈출 순 없어 
모든 세상이 더 밝도록 

come on it's time to 
boogie woogie 
다 함께 리듬에 맞춰서 
신나게 우리 둘이 
다 함께 음악에 미쳐서 do it now 
엉덩이를 흔들어 
부비부비 더 가까이 
다 같이 let's do the rock & roll 
아픈 마음 달래 봐도 세상 속에 
기쁜 일은 없고 
사랑했던 그 사람은 떠났지만 
좋은 사랑이 올 거라 믿어봐 
오랜 기다림에 지쳐가지만 
많은 추억들이 날 흔들지만 
이제 달리는 거야 
높은 하늘을 향해 
좋은 날들이 반겨 줄 거라 믿어 
함께 흔들어 Rock & Roll 
이 음악에 몸을 실어 Rock & Roll 
누구든 상관없어 Rock & Roll 
맘껏 움직여봐 
나와 춤을 춰 rock & roll 
오늘만은 나와 함께 rock & roll 
아무도 보지 말고 rock & roll 
지금 멈출 순 없어 
let's do the boogie woogie 
흔들고 
언제나 우리 둘이 신나게 
이 시간 shake it shake it 
come on 
나와 춤을 춰 rock & roll 
오늘만은 나와 함께 rock & roll 
아무도 보지 말고 rock & roll 
지금 멈출 순 없어 
모든 세상이 더 밝도록 
이 순간 영원까지 
"
여름,말괄량이 (Feat. 카를로스(업타운)),"너의 사소한 움직임이 
내 마음을 흔들고 
지금처럼 섹시한 눈빛으로 
on n on n on 
넌 내 어디가 좋은거니 
솔직히 말해 
너의 전부가 다 좋다는 
그런식은 싫어 
tell me that you love 
내 몸매가 좋아 
tell me that you love 
내 얼굴이 좋아 
tell me that you love 
나의 긴머리가 좋아 
우리 솔직해 볼까 
all right tonight 
이제 니 진심을 말해봐 
and i tonight 
모든 준비가 다 끝났어 
tell me that you love 
내 어디가 좋아 
tell me that you love 
내 다리가 좋아 
tell me that you love 
나의 엉덩이가 좋아 
착해서 좋다는 건 싫어 
너 지금 내게 뭘 원하니 
솔직히 말해 
나와 함께라면 좋다는 
그런식은 싫어 
tell me that you want 
손을 잡고 싶어 
tell me that you want 
영활 보고싶어 
tell me that you want 
그냥 함께 걷고 싶어 
우리 솔직해 볼까 
all right tonight 
이제 니 진심을 말해봐 
and i tonight 
모든 준비가 다 끝났어 
tell me that you love 
내 어디가 좋아 
tell me that you love 
내 다리가 좋아 
tell me that you love 
나의 엉덩이가 좋아 
착해서 좋다는 건 싫어 
잔소리들은 집어쳐 
쓸데없는 말들로 
시간 보내지 말고 
내 곁으로 조금만 
더 가까이 다가와 
사랑이란 말보다 
그냥 널 안아줄게 
그대 내 품에 안긴채 
yes party time out lady 
all right tonight 
이제 니 진심을 말해봐 
and I tonight 
모든 준비가 다 끝났어 
tell me that you want 
내 입술을 원해 
tell me that you want 
내 손길을 원해 
tell me that you want 
오늘 함께 있길 원해 
솔직하지 못한건 싫어 
all right tonight 
이제 니 진심을 말해봐 
and i tonight 
모든 준비가 다 끝났어 
tell me that you love 
내 어디가 좋아 
tell me that you love 
내 다리가 좋아 
tell me that you love 
나의 엉덩이가 좋아 
착해서 좋다는 건 싫어 "
여름,예감 좋은 날,"한 동안 내리던 비가 그치고 
유난히도 맑은아침 
예감이 좋아 너를 만나는 오늘
늘 맘에 안들던 거울 속 내 얼굴
유난히도 예뻐보여 느낌이 좋아
두근거리는 오늘 라랄라
너무나 기분좋은 예감 속에 
기분좋은 상상 속에 
설레이며 만난 넌 
너무나 지루한 그 표정으로
지루한 그 단어들로 
안녕이라 말하네
이렇게 보낼 순 없어 
오늘만은 제발 이대로
이렇게 끝낼 순 없어 
너무 예감 좋은 날
늘 지쳐 잠들 던 나의 꿈 속에 
파랑새가 나타났어 아름다웠어
느낌이 좋은 오늘 uh oh oh oh
너무나 기분좋은 예감 속에 
기분좋은 상상 속에
설레이며 만난 넌 
너무나 지루한 그 표정으로
지루한 그 단어들로 
안녕이라 말하네
이렇게 보낼 순 없어 
오늘만은 제발 이대로
이렇게 끝낼 순 없어 
너무 예감 좋은 날 yeah
너무나 기분좋은 예감 속에 
기분좋은 상상 속에 
설레이며 만난 넌 
너무나 지루한 그 표정으로
지루한 그 단어들로 
안녕이라 말하네
이렇게 보낼 순 없어 
오늘만은 제발 이대로
이렇게 끝낼 순 없어 
너무 예감 좋은 날 yeah
오늘을 알고 있었어 
너무다른 너의 그 눈빛
이렇게 보내야 할까 
너무 예감 좋은 날 yeah"
여름,하늘을 달리다,"두근거렸지 
누군가 나의 뒤를 쫓고있었고 
검은 절벽 끝 
더 이상 발 디딜 곳 하나 없었지 
자꾸 목이 메어 
간절히 네 이름을 되뇌었을 때 
귓가에 울리는 그대의 
뜨거운 목소리 
그게 나의 구원이었어 
마른 하늘을 달려 
나 그대에게 안길 수만 있으면 
내 몸 부서진대도 좋아 
설혹 너무 태양 가까이 날아 
두 다리 모두 녹아 내린다고 해도 
내맘 그대 마음속으로 
영원토록 달려갈거야 
내가 미웠지 
난 결국 이것밖에 안 돼 보였고 
오랜 꿈들이 
공허한 어린 날의 착각 같았지 
울먹임을 참고
남몰래 네 이름을 속삭였을 때
귓가에 울리는 그대의
뜨거운 목소리
그게 나의 희망이었어
마른 하늘을 달려
나 그대에게 안길 수만 있으면
내 몸 부서진대도 좋아
설혹 너무 태양 가까이 날아
두 다리 모두 녹아 내린다고 해도
내맘 그대 마음속으로
영원토록 달려갈거야
허약한 내 영혼에 힘을
날개를 달수있다면
마른 하늘을 달려
나 그대에게 안길 수만 있으면
내 몸 부서진대도 좋아
설혹 너무 태양 가까이 날아
두 다리 모두 녹아 내린다고 해도
내맘 그대 마음속으로
영원토록 달려갈거야"
여름,일탈,"매일 똑같이 굴러가는 하루 
지루해 난 하품이나 해 
뭐 화끈한 일 
뭐 신나는 일 없을까
우와우와우와우와
할 일이 쌓였을 때 훌쩍 여행을
아파트 옥상에서 번지점프를
신도림역 안에서 스트립 쇼를
야이야이야이야이야
하는 일 없이 피곤한 일생
나른해 난 기지개나 펴
뭐 화끈한 일
뭐 신나는 일 없을까
우와우와우와우와
머리에 꽃을 달고 미친 척 춤을
선보기 하루 전에 홀딱 삭발을
비 오는 겨울밤에 벗고 조깅을
야이야이야이야이야
할 일이 쌓였을 때 훌쩍 여행을
아파트 옥상에서 번지점프를
신도림역 안에서 스트립 쇼를
야이야이야이야이야
모두 원해 어딘가 도망칠 곳을
모두 원해 무언가 색다른 것을
모두 원해 모두 원해 나도 원해
매일 똑같이 굴러가는 하루
뭐 화끈한 일 
뭐 신나는 일 없을까
우와우와우와우와
할 일이 쌓였을 때 훌쩍 여행을
아파트 옥상에서 번지점프를
신도림역 안에서 스트립 쇼를
야이야이야이야이야
머리에 꽃을 달고 미친 척 춤을
선보기 하루 전에 홀딱 삭발을
비 오는 겨울밤에 벗고 조깅을
야이야이야이야이야
할 일이 쌓였을 때 훌쩍 여행을
아파트 옥상에서 번지점프를
신도림역 안에서 스트립 쇼를
야이야이야이야이야
머리에 꽃을 달고 미친 척 춤을
선보기 하루 전에 홀딱 삭발을
비 오는 겨울밤에 벗고 조깅을
야이야이야이야이야"
여름,Aspirin (아스피린) (12 String Guitar Ver.),"끔찍한 일이 될거야 Darling 
어른이 된다는상상만으로도 내겐 
숨이 막혀버릴것 같은 고통일거야 
Oh help me날 이해해줘 
널 좋아하지만 
And my lover I love you 
내맘 정하긴 곤란해 
네겐 항상 날마다 다른 
이벤트로 너를 기쁘게 해줄 
남자가 더욱더 어울릴지도 몰라 
때로는 나도 휴일이 있었으면 해 우우 
Oh my love 
넌 잠시도 날 가만두질 않으니 
그렇지만 혼자인 날은 우우 
오히려 더 불안한건 나인걸 
이런 제길 이런게 또 어딨어 예 
Woo I need your love 
Woo I need your love love love 
네게로 빠져드는 내가 두려워 
이런 제길 이런게 또 어딨어 예 

끔찍한 일이 될거야 Darling 
어른이 된다는상상만으로도 내겐 
숨이 막혀버릴것 같은 고통일거야 
Oh help me날 이해해줘 
널 좋아하지만 
And my lover I love you 
내맘 정하긴 곤란해 
네겐 항상 날마다 다른 
이벤트로 너를 기쁘게 해줄 
남자가 더욱더 어울릴지도 몰라 
때로는 나도 휴일이 있었으면 해 우우 
Oh my love 
넌 잠시도 날 가만두질 않으니 
그렇지만 혼자인 날은 우우 
오히려 더 불안한건 나인걸 
이런 제길 이런게 또 어딨어 예 
Woo I need your love 
Woo I need your love love love 
네게로 빠져드는 내가 두려워 
이런 제길 이런게 또 어딨어 예 
Woo I need your love 
Woo I need your love love love 
네게로 빠져드는 내가 두려워 
이런 제길 이런게 또 어딨어 예 "
